  0   0        -0.05 
  0   1     0.288869 
  0   2     0.642208 
  0   3     0.821357 
  0   4      0.93197 
  0   5       1.0261 
  0   6       1.1261 
  0   7      1.23197 
  0   8      1.32136 
  0   9      1.34221 
  0  10      1.18887 
  0  11         1.05 

  1   0    -0.152342 
  1   1     0.136116 
  1   2     0.375897 
  1   3     0.564581 
  1   4     0.705376 
  1   5     0.818805 
  1   6     0.918805 
  1   7      1.00538 
  1   8      1.06458 
  1   9       1.0759 
  1  10      1.03612 
  1  11     0.947658 

  2   0    -0.120065 
  2   1     0.103299 
  2   2     0.276368 
  2   3     0.438531 
  2   4     0.574379 
  2   5     0.688654 
  2   6     0.788654 
  2   7     0.874379 
  2   8     0.938531 
  2   9     0.976368 
  2  10       1.0033 
  2  11     0.979935 

  3   0    -0.115038 
  3   1    0.0916282 
  3   2     0.228066 
  3   3     0.366453 
  3   4     0.492949 
  3   5     0.604804 
  3   6     0.704804 
  3   7     0.792949 
  3   8     0.866453 
  3   9     0.928066 
  3  10     0.991628 
  3  11     0.984962 

  4   0    -0.115226 
  4   1     0.086926 
  4   2     0.204177 
  4   3     0.324936 
  4   4     0.442192 
  4   5     0.550733 
  4   6     0.650733 
  4   7     0.742192 
  4   8     0.824936 
  4   9     0.904177 
  4  10     0.986926 
  4  11     0.984774 

  5   0     -0.11599 
  5   1    0.0848304 
  5   2     0.192173 
  5   3     0.300883 
  5   4     0.410487 
  5   5      0.51584 
  5   6      0.61584 
  5   7     0.710487 
  5   8     0.800883 
  5   9     0.892173 
  5  10      0.98483 
  5  11      0.98401 

  6   0    -0.116545 
  6   1    0.0838282 
  6   2      0.18605 
  6   3      0.28688 
  6   4     0.390647 
  6   5     0.493308 
  6   6     0.593308 
  6   7     0.690647 
  6   8      0.78688 
  6   9      0.88605 
  6  10     0.983828 
  6  11     0.983455 

  7   0    -0.116875 
  7   1    0.0833261 
  7   2     0.182881 
  7   3     0.278694 
  7   4     0.378213 
  7   5     0.478751 
  7   6     0.578751 
  7   7     0.678213 
  7   8     0.778694 
  7   9     0.882881 
  7  10     0.983326 
  7  11     0.983125 

  8   0    -0.117058 
  8   1    0.0830664 
  8   2     0.181217 
  8   3      0.27389 
  8   4     0.370411 
  8   5     0.469342 
  8   6     0.569342 
  8   7     0.670411 
  8   8      0.77389 
  8   9     0.881217 
  8  10     0.983066 
  8  11     0.982942 

  9   0    -0.117158 
  9   1     0.082929 
  9   2     0.180329 
  9   3      0.27106 
  9   4     0.365509 
  9   5     0.463258 
  9   6     0.563258 
  9   7     0.665509 
  9   8      0.77106 
  9   9     0.880329 
  9  10     0.982929 
  9  11     0.982842 

 10   0    -0.117213 
 10   1    0.0828549 
 10   2     0.179848 
 10   3     0.269388 
 10   4     0.362427 
 10   5     0.459323 
 10   6     0.559323 
 10   7     0.662427 
 10   8     0.769388 
 10   9     0.879848 
 10  10     0.982855 
 10  11     0.982787 

 11   0    -0.117243 
 11   1    0.0828142 
 11   2     0.179584 
 11   3     0.268397 
 11   4     0.360486 
 11   5     0.456776 
 11   6     0.556776 
 11   7     0.660486 
 11   8     0.768397 
 11   9     0.879584 
 11  10     0.982814 
 11  11     0.982757 

 12   0     -0.11726 
 12   1    0.0827916 
 12   2     0.179437 
 12   3     0.267808 
 12   4     0.359263 
 12   5     0.455128 
 12   6     0.555128 
 12   7     0.659263 
 12   8     0.767808 
 12   9     0.879437 
 12  10     0.982792 
 12  11      0.98274 

 13   0     -0.11727 
 13   1    0.0827788 
 13   2     0.179354 
 13   3     0.267457 
 13   4     0.358493 
 13   5     0.454061 
 13   6     0.554061 
 13   7     0.658493 
 13   8     0.767457 
 13   9     0.879354 
 13  10     0.982779 
 13  11      0.98273 

 14   0    -0.117275 
 14   1    0.0827715 
 14   2     0.179307 
 14   3     0.267247 
 14   4     0.358006 
 14   5      0.45337 
 14   6      0.55337 
 14   7     0.658006 
 14   8     0.767247 
 14   9     0.879307 
 14  10     0.982772 
 14  11     0.982725 

 15   0    -0.117279 
 15   1    0.0827673 
 15   2      0.17928 
 15   3     0.267121 
 15   4     0.357699 
 15   5     0.452922 
 15   6     0.552922 
 15   7     0.657699 
 15   8     0.767121 
 15   9      0.87928 
 15  10     0.982767 
 15  11     0.982721 

 16   0     -0.11728 
 16   1    0.0827649 
 16   2     0.179264 
 16   3     0.267045 
 16   4     0.357505 
 16   5     0.452632 
 16   6     0.552632 
 16   7     0.657505 
 16   8     0.767045 
 16   9     0.879264 
 16  10     0.982765 
 16  11      0.98272 

 17   0    -0.117281 
 17   1    0.0827634 
 17   2     0.179254 
 17   3        0.267 
 17   4     0.357382 
 17   5     0.452444 
 17   6     0.552444 
 17   7     0.657382 
 17   8        0.767 
 17   9     0.879254 
 17  10     0.982763 
 17  11     0.982719 

 18   0    -0.117282 
 18   1    0.0827626 
 18   2     0.179249 
 18   3     0.266972 
 18   4     0.357305 
 18   5     0.452322 
 18   6     0.552322 
 18   7     0.657305 
 18   8     0.766972 
 18   9     0.879249 
 18  10     0.982763 
 18  11     0.982718 

 19   0    -0.117282 
 19   1    0.0827621 
 19   2     0.179246 
 19   3     0.266955 
 19   4     0.357256 
 19   5     0.452243 
 19   6     0.552243 
 19   7     0.657256 
 19   8     0.766955 
 19   9     0.879246 
 19  10     0.982762 
 19  11     0.982718 

 20   0    -0.117283 
 20   1    0.0827618 
 20   2     0.179244 
 20   3     0.266945 
 20   4     0.357225 
 20   5     0.452192 
 20   6     0.552192 
 20   7     0.657225 
 20   8     0.766945 
 20   9     0.879244 
 20  10     0.982762 
 20  11     0.982717 

 21   0    -0.117283 
 21   1    0.0827616 
 21   2     0.179242 
 21   3     0.266939 
 21   4     0.357205 
 21   5     0.452159 
 21   6     0.552159 
 21   7     0.657205 
 21   8     0.766939 
 21   9     0.879242 
 21  10     0.982762 
 21  11     0.982717 

 22   0    -0.117283 
 22   1    0.0827615 
 22   2     0.179242 
 22   3     0.266935 
 22   4     0.357192 
 22   5     0.452138 
 22   6     0.552138 
 22   7     0.657192 
 22   8     0.766935 
 22   9     0.879242 
 22  10     0.982761 
 22  11     0.982717 

 23   0    -0.117283 
 23   1    0.0827614 
 23   2     0.179241 
 23   3     0.266933 
 23   4     0.357184 
 23   5     0.452123 
 23   6     0.552123 
 23   7     0.657184 
 23   8     0.766933 
 23   9     0.879241 
 23  10     0.982761 
